method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-usediscrepancy,200,2.0,20,202,0.05698839228591091,1.6888230247315108,0.31743870888052356
R-BOCPD-PF-nodiscrepancy,200,2.0,20,202,0.028248672675526085,1.6807021981912897,0.5059192929610009
R-BOCPD-PF-halfdiscrepancy,200,2.0,20,202,0.01556886795507643,1.6776339994581917,0.24871768764435215
DA,200,2.0,20,303,0.07009330555294627,0.7291336869582151,0.4611767156001849
BC,200,2.0,20,303,0.146715893264808,0.7295102824767431,0.4607084565437757
BOCPD-PF,200,2.0,20,303,0.061902124950225235,1.7125931103527152,0.3463596915043312
BPC-80,200,2.0,20,303,0.11274506919716525,1.7160528959372106,
BOCPD-BPC,200,2.0,20,303,0.03237791489376873,1.672327188345102,
R-BOCPD-PF-OGP,200,2.0,20,303,0.0062094127069415505,0.43790566560416533,
PF-OGP,200,2.0,20,303,0.7872633184498675,1.272973206817433,
R-BOCPD-PF-usediscrepancy,200,2.0,20,303,0.04066464426107105,1.7014873871566703,0.2986010399404893
R-BOCPD-PF-nodiscrepancy,200,2.0,20,303,0.01556162694562563,1.6985855571160726,0.4734732420373632
R-BOCPD-PF-halfdiscrepancy,200,2.0,20,303,0.012740061705713726,1.6982607173996591,0.26457264770052713
DA,200,2.0,20,404,0.08042514116666864,0.7224862705438565,0.45143215702130246
BC,200,2.0,20,404,0.14265366826674242,0.7249739804329016,0.4526770292566373
BOCPD-PF,200,2.0,20,404,0.060796592991230566,1.7064963640093156,0.3241179326326484
BPC-80,200,2.0,20,404,0.11609850194305765,1.7086245310612214,
BOCPD-BPC,200,2.0,20,404,0.02897028403749987,1.664217383433611,
R-BOCPD-PF-OGP,200,2.0,20,404,0.010499187297364375,0.4299655707498985,
PF-OGP,200,2.0,20,404,0.7276827628020006,1.4459694235627303,
R-BOCPD-PF-usediscrepancy,200,2.0,20,404,0.051025249859302756,1.703334148274837,0.2581060824782567
R-BOCPD-PF-nodiscrepancy,200,2.0,20,404,0.015467653087380202,1.6904499693877943,0.46299583366836444
R-BOCPD-PF-halfdiscrepancy,200,2.0,20,404,0.016154642393436777,1.690732022347674,0.25821129239428975
DA,200,2.0,20,505,0.07639478513636469,0.7067195501847144,0.4488248185087473
BC,200,2.0,20,505,0.14247006803041667,0.7063663391730725,0.44863407906049335
BOCPD-PF,200,2.0,20,505,0.07661515801077425,1.6893511541639576,0.3057842805044218
BPC-80,200,2.0,20,505,0.11607657280315958,1.694675632012196,
BOCPD-BPC,200,2.0,20,505,0.0321690061039593,1.6517013219686656,
R-BOCPD-PF-OGP,200,2.0,20,505,0.04493522587283773,0.44943935762812887,
PF-OGP,200,2.0,20,505,0.7171113331543918,1.3946670790309494,
R-BOCPD-PF-usediscrepancy,200,2.0,20,505,0.0727671995305156,1.6870649785055143,0.25352872728963943
R-BOCPD-PF-nodiscrepancy,200,2.0,20,505,0.014378127681993279,1.6771744862522486,0.4556703147090383
R-BOCPD-PF-halfdiscrepancy,200,2.0,20,505,0.014414577583851665,1.6775850693550898,0.2533230231670397
DA,200,3.0,20,101,0.13984134996706002,0.8078794345641748,0.5232808429461259
BC,200,3.0,20,101,0.24444842742912198,0.8045567801365485,0.5205105661581724
BOCPD-PF,200,3.0,20,101,0.08909811404789093,1.5907872723536143,0.34780251176471566
BPC-80,200,3.0,20,101,0.16121094979127132,1.6126802395551632,
BOCPD-BPC,200,3.0,20,101,0.02824616390317509,1.534730082903153,
R-BOCPD-PF-OGP,200,3.0,20,101,0.02524502906579746,0.48426044942942637,
PF-OGP,200,3.0,20,101,0.9586357430373307,1.5248105853352052,
R-BOCPD-PF-usediscrepancy,200,3.0,20,101,0.05449752256766439,1.572596271333468,0.28613582673206905
R-BOCPD-PF-nodiscrepancy,200,3.0,20,101,0.035249638182108654,1.5660110205732873,0.5274528172704134
R-BOCPD-PF-halfdiscrepancy,200,3.0,20,101,0.04812756911953172,1.5690352115007737,0.7453890046735626
DA,200,3.0,20,202,0.14202535627540927,0.8204496823824369,0.5347490125359633
BC,200,3.0,20,202,0.23741396427529096,0.819106325507164,0.53276532716476
BOCPD-PF,200,3.0,20,202,0.1103998075351964,1.6172045366795735,0.3857242422367245
BPC-80,200,3.0,20,202,0.16944027450315466,1.6278189970896795,
BOCPD-BPC,200,3.0,20,202,0.02877402316202358,1.5411217640607784,
R-BOCPD-PF-OGP,200,3.0,20,202,0.03235910663218946,0.46189755728606513,
PF-OGP,200,3.0,20,202,1.0821399685385917,1.4401705729937189,
R-BOCPD-PF-usediscrepancy,200,3.0,20,202,0.10273117793877315,1.6107786332399707,0.3200453261795865
R-BOCPD-PF-nodiscrepancy,200,3.0,20,202,0.042512846924287924,1.5766830555705065,0.5111912512679474
R-BOCPD-PF-halfdiscrepancy,200,3.0,20,202,0.030250183373830664,1.5733021319905518,0.5246558891943571
DA,200,3.0,20,303,0.13450433073017465,0.8283866926645621,0.5427885296253058
BC,200,3.0,20,303,0.23661068367832624,0.8259541182181774,0.5406953723002703
BOCPD-PF,200,3.0,20,303,0.08800876741091465,1.6239871021289858,0.3885318486154199
BPC-80,200,3.0,20,303,0.16307335366194683,1.641172176752335,
BOCPD-BPC,200,3.0,20,303,0.028576712970929,1.5605621337890625,
R-BOCPD-PF-OGP,200,3.0,20,303,0.025683182124881368,0.5016790396379739,
PF-OGP,200,3.0,20,303,1.0304619662558345,1.5109604297226638,
R-BOCPD-PF-usediscrepancy,200,3.0,20,303,0.05490349378522408,1.6044023139087475,0.2989861397331822
R-BOCPD-PF-nodiscrepancy,200,3.0,20,303,0.025261279552621124,1.5913472832976496,0.542891661700344
R-BOCPD-PF-halfdiscrepancy,200,3.0,20,303,0.04033290689574371,1.5951367713866982,0.538111398303563
DA,200,3.0,20,404,0.13676136637177105,0.8181478297099088,0.5318085763316888
BC,200,3.0,20,404,0.22335564920953677,0.8170156788367492,0.5302269789270866
BOCPD-PF,200,3.0,20,404,0.09240002734350743,1.616837225978003,0.36069736339748504
BPC-80,200,3.0,20,404,0.1687262698884976,1.6309973368277917,
BOCPD-BPC,200,3.0,20,404,0.027934416711894974,1.5475476827376928,
R-BOCPD-PF-OGP,200,3.0,20,404,0.02807470793975288,0.47115281326841213,
PF-OGP,200,3.0,20,404,0.9528422336544569,1.4992435992241406,
R-BOCPD-PF-usediscrepancy,200,3.0,20,404,0.05927558030786542,1.595718513744216,0.28701280215569
R-BOCPD-PF-nodiscrepancy,200,3.0,20,404,0.03750751695073276,1.581134447512204,0.5288367864408133
R-BOCPD-PF-halfdiscrepancy,200,3.0,20,404,0.025704968789074495,1.5780557980587677,0.532263261247559
DA,200,3.0,20,505,0.13922208797341415,0.825003186861674,0.5412421923799392
BC,200,3.0,20,505,0.2432226755967209,0.8200765183338752,0.5376167280169634
BOCPD-PF,200,3.0,20,505,0.10071182783668416,1.608632685384406,0.3556202815986757
BPC-80,200,3.0,20,505,0.16473776588354558,1.631666559439439,
BOCPD-BPC,200,3.0,20,505,0.028427528942611937,1.5467342199423375,
R-BOCPD-PF-OGP,200,3.0,20,505,0.026294879087118438,0.47644465201910546,
PF-OGP,200,3.0,20,505,1.0649725865235877,1.426743323617688,
R-BOCPD-PF-usediscrepancy,200,3.0,20,505,0.07024913670298852,1.5858446073485035,0.2884806252402844
R-BOCPD-PF-nodiscrepancy,200,3.0,20,505,0.037857227957394234,1.581391926688891,0.5343068654111158
R-BOCPD-PF-halfdiscrepancy,200,3.0,20,505,0.04955452778235913,1.5850338157810981,0.7000468624282079
DA,200,5.0,20,101,1.641127365390342,1.0896787696923964,0.7959319803959284
BC,200,5.0,20,101,0.5809397334778277,1.0530026600911067,0.7666983380913734
BOCPD-PF,200,5.0,20,101,0.35183820612521155,1.9196644189071923,0.4544300133707039
BPC-80,200,5.0,20,101,0.36399086494082394,1.9155557797505305,
BOCPD-BPC,200,5.0,20,101,0.06052074297284461,1.8390667255108173,
R-BOCPD-PF-OGP,200,5.0,20,101,0.045385847528801294,0.5440870332480019,
PF-OGP,200,5.0,20,101,1.4754703941855658,1.6892463589815248,
R-BOCPD-PF-usediscrepancy,200,5.0,20,101,0.10907161310745968,1.903091239168959,0.3332158786656104
R-BOCPD-PF-nodiscrepancy,200,5.0,20,101,0.020614423595240693,1.8641644252325646,0.3338139638255231
R-BOCPD-PF-halfdiscrepancy,200,5.0,20,101,0.019258439726823375,1.864381923513036,0.33380561942467235
DA,200,5.0,20,202,1.6427210714978215,1.0765094233629031,0.7870894164229051
BC,200,5.0,20,202,0.4718002421419645,1.0457492753481255,0.764983845062745
BOCPD-PF,200,5.0,20,202,0.2542350694397394,1.9124985466133644,0.4836517269034741
BPC-80,200,5.0,20,202,0.4112105983905789,1.9307590142274513,
BOCPD-BPC,200,5.0,20,202,0.058948778848809676,1.836939227886689,
R-BOCPD-PF-OGP,200,5.0,20,202,0.045090541044492755,0.519311329721481,
PF-OGP,200,5.0,20,202,1.4835522696027663,1.6845211982421706,
R-BOCPD-PF-usediscrepancy,200,5.0,20,202,0.09330975137842372,1.8892587077406848,0.3293249758474544
R-BOCPD-PF-nodiscrepancy,200,5.0,20,202,0.025087679881431724,1.8635625459550782,0.3287287255255916
R-BOCPD-PF-halfdiscrepancy,200,5.0,20,202,0.024530873551632693,1.8633671032287413,0.3287157305604991
DA,200,5.0,20,303,1.643178126426264,1.0832807245926979,0.7914698500281725
BC,200,5.0,20,303,0.4853310015425862,1.0491357789589808,0.7697414066164922
BOCPD-PF,200,5.0,20,303,0.34297212531411525,1.9026352013977106,0.47945507509019836
BPC-80,200,5.0,20,303,0.40260970588424794,1.938951360873687,
BOCPD-BPC,200,5.0,20,303,0.08882181159703556,1.8486371315442598,
R-BOCPD-PF-OGP,200,5.0,20,303,0.043785983023296005,0.5533280514167084,
PF-OGP,200,5.0,20,303,1.4978775909471673,1.674296629521154,
R-BOCPD-PF-usediscrepancy,200,5.0,20,303,0.07636299438575554,1.8854401117394308,0.3404332624855789
R-BOCPD-PF-nodiscrepancy,200,5.0,20,303,0.37302066275779683,1.8765769068209635,0.3948134648963984
R-BOCPD-PF-halfdiscrepancy,200,5.0,20,303,0.37161965020404153,1.876316501468623,0.3946341282605713
DA,200,5.0,20,404,1.6422893618841952,1.0814617818746812,0.7915158592737638
BC,200,5.0,20,404,0.5260520693908977,1.0529792908674631,0.7711373519821044
BOCPD-PF,200,5.0,20,404,0.2593366967141864,1.9120474647673087,0.438809622671491
BPC-80,200,5.0,20,404,0.41260274902146826,1.911136887012384,
BOCPD-BPC,200,5.0,20,404,0.07661437091078942,1.8378094067940345,
R-BOCPD-PF-OGP,200,5.0,20,404,0.049910569903699506,0.51855884014866,
PF-OGP,200,5.0,20,404,1.5094723779201764,1.6623557094650236,
R-BOCPD-PF-usediscrepancy,200,5.0,20,404,0.20936242739657823,1.8925681232136173,0.35939837765994676
R-BOCPD-PF-nodiscrepancy,200,5.0,20,404,0.22744455711529893,1.872982778726212,0.3811804144293824
R-BOCPD-PF-halfdiscrepancy,200,5.0,20,404,0.05281607491472313,1.8689593529975992,0.3812413403786137
DA,200,5.0,20,505,1.6421874423976162,1.075853555248334,0.7849802810412186
BC,200,5.0,20,505,0.5499656290423942,1.0412006485156524,0.7588957448800405
BOCPD-PF,200,5.0,20,505,0.7537510227712967,1.9603930637970712,0.4297660311821092
BPC-80,200,5.0,20,505,0.4095327841978266,1.9391825443659074,
BOCPD-BPC,200,5.0,20,505,0.09400402084771513,1.848320945715293,
R-BOCPD-PF-OGP,200,5.0,20,505,0.8201628016453145,0.5509370065655725,
PF-OGP,200,5.0,20,505,1.4401231350563575,1.676742723006458,
R-BOCPD-PF-usediscrepancy,200,5.0,20,505,0.8648268066530076,1.9265368594671533,0.43937075044969265
R-BOCPD-PF-nodiscrepancy,200,5.0,20,505,0.5797762093146195,1.8786480748308843,0.4020798399587062
R-BOCPD-PF-halfdiscrepancy,200,5.0,20,505,0.6705350484279251,1.8868744701118152,0.4258682211308067
