method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-usediscrepancy,80,3.0,20,202,0.03737496708533574,1.6807862419583572,0.5419825999608926
R-BOCPD-PF-nodiscrepancy,80,3.0,20,202,0.01645337776426645,1.6679466542331385,0.5418820476255374
R-BOCPD-PF-halfdiscrepancy,80,3.0,20,202,0.059454785576232946,1.6788875082910368,0.7160498385474384
DA,80,3.0,20,303,0.21943579232986832,1.7397691706816356,1.1692610700925192
BC,80,3.0,20,303,0.3363009039887125,1.7424908796946208,1.170420544842879
BOCPD-PF,80,3.0,20,303,0.14431875551467974,1.7464706754985642,0.768166647311993
BPC-80,80,3.0,20,303,0.24674379230567658,1.8496022621790569,
BOCPD-BPC,80,3.0,20,303,0.029132406967738514,1.6441832621892294,
R-BOCPD-PF-OGP,80,3.0,20,303,0.023406381361475284,0.8834333963546425,
PF-OGP,80,3.0,20,303,1.0676313343442074,1.860170124296826,
R-BOCPD-PF-usediscrepancy,80,3.0,20,303,0.04438998622080999,1.680970511846975,0.5642027806304365
R-BOCPD-PF-nodiscrepancy,80,3.0,20,303,0.015073317768629487,1.6656074141507924,0.5644085202057428
R-BOCPD-PF-halfdiscrepancy,80,3.0,20,303,0.06292180277359748,1.6834999878639776,0.6561696026258151
DA,80,3.0,20,404,0.22681641636891497,1.7099829783042273,1.1451019907991091
BC,80,3.0,20,404,0.2849063899741169,1.7134683420260748,1.1408717935283978
BOCPD-PF,80,3.0,20,404,0.1804389252365522,1.7465847777269345,0.7420623024311349
BPC-80,80,3.0,20,404,0.26206108057722266,1.8405251264572144,
BOCPD-BPC,80,3.0,20,404,0.027216097755127507,1.6238478581110636,
R-BOCPD-PF-OGP,80,3.0,20,404,0.02278252222414181,0.8636055441787579,
PF-OGP,80,3.0,20,404,1.0872770473679303,1.86701240211843,
R-BOCPD-PF-usediscrepancy,80,3.0,20,404,0.044302009464487896,1.6530029717288905,0.5371877952957913
R-BOCPD-PF-nodiscrepancy,80,3.0,20,404,0.01784873323494792,1.6440098333651108,0.5377847147147407
R-BOCPD-PF-halfdiscrepancy,80,3.0,20,404,0.08536148004957109,1.6762584596049797,1.0009056267541983
DA,80,3.0,20,505,0.2137922555260601,1.7276175359884898,1.1486566493908563
BC,80,3.0,20,505,0.30168217117834695,1.7300555507342021,1.1496545240283012
BOCPD-PF,80,3.0,20,505,0.15061846815428456,1.763297557406582,0.7596286318096667
BPC-80,80,3.0,20,505,0.24624104709628294,1.8616236209869386,
BOCPD-BPC,80,3.0,20,505,0.027706247088904956,1.6525380690892537,
R-BOCPD-PF-OGP,80,3.0,20,505,0.024647472463154105,0.8882318113462391,
PF-OGP,80,3.0,20,505,1.0962375542731613,1.9066036250603848,
R-BOCPD-PF-usediscrepancy,80,3.0,20,505,0.03640999818833929,1.6863753661462004,0.5573009810212037
R-BOCPD-PF-nodiscrepancy,80,3.0,20,505,0.01678525285220838,1.6713692111464442,0.557782440962775
R-BOCPD-PF-halfdiscrepancy,80,3.0,20,505,0.017550935764046278,1.673339046270619,0.5579735402689849
DA,80,5.0,20,101,1.6341661332628685,1.9726386725902558,1.4594373007615407
BC,80,5.0,20,101,0.48382568279916455,1.975014528632164,1.4675319214661917
BOCPD-PF,80,5.0,20,101,0.9519500820058494,2.0069924530311356,0.9541670457296032
BPC-80,80,5.0,20,101,0.6310922029001698,2.174211041132609,
BOCPD-BPC,80,5.0,20,101,0.1256168678955019,1.9402768770853678,
R-BOCPD-PF-OGP,80,5.0,20,101,0.26153537962185835,1.1337920812599724,
PF-OGP,80,5.0,20,101,1.4236142666188012,2.262370263481289,
R-BOCPD-PF-usediscrepancy,80,5.0,20,101,0.057608471587722344,1.9513408036848068,0.6684077839603918
R-BOCPD-PF-nodiscrepancy,80,5.0,20,101,0.07621414512644704,1.9717443677001343,0.8668529904399779
R-BOCPD-PF-halfdiscrepancy,80,5.0,20,101,0.3656002943498389,1.9860679853417549,0.7650348703618322
DA,80,5.0,20,202,1.6308684429367197,1.9770202567179997,1.4676548699537912
BC,80,5.0,20,202,0.25187172886528864,1.9790620376666388,1.4765155598521233
BOCPD-PF,80,5.0,20,202,0.40666718208610564,2.018338364243489,0.9488310203422718
BPC-80,80,5.0,20,202,0.6491596260543862,2.1520111481348674,
BOCPD-BPC,80,5.0,20,202,0.16837714407634521,1.9160143693288167,
R-BOCPD-PF-OGP,80,5.0,20,202,0.041798390935791456,0.9782007190993096,
PF-OGP,80,5.0,20,202,1.4027409515189901,2.2219338313980543,
R-BOCPD-PF-usediscrepancy,80,5.0,20,202,0.06140088912635718,1.9418583277242205,0.6636285571894862
R-BOCPD-PF-nodiscrepancy,80,5.0,20,202,0.8559743864181772,1.9308003611583098,0.956927784387254
R-BOCPD-PF-halfdiscrepancy,80,5.0,20,202,1.0600948901243403,1.960704006481887,1.02922746015024
