batch_idx,group,rank,Q,R,W,M1,M2,theta_true,theta_est,pred_mu,pred_sigma,actual_y
34,baseline,4,56,94,10,3,2,11.671727298005072,12.067691987178545,1146001.0,0.0,1076832.0
34,baseline,5,52,91,10,3,2,11.671727298005072,12.067691987178545,1143635.0,0.0,1079179.0
35,candidate,1,97,100,11,3,2,11.784298167231936,12.107068756191653,1066290.5887825256,331993.7868436126,1032161.0
35,candidate,2,98,100,11,3,2,11.784298167231936,12.107068756191653,1065885.3003251941,331891.6848716337,1031083.0
35,candidate,3,97,98,11,3,2,11.784298167231936,12.107068756191653,1065683.9430458231,331751.0819367118,1029322.0
35,candidate,4,99,100,11,3,2,11.784298167231936,12.107068756191653,1065378.594923906,331781.18124021555,1033446.0
35,candidate,5,98,98,11,3,2,11.784298167231936,12.107068756191653,1065252.1137175406,331643.02896418335,1028019.0
35,baseline,1,64,90,11,3,2,11.784298167231936,12.107068756191653,1151826.125,0.0,1055474.0
35,baseline,2,57,91,11,3,2,11.784298167231936,12.107068756191653,1148794.875,0.0,1065519.0
35,baseline,3,59,93,11,3,2,11.784298167231936,12.107068756191653,1148783.625,0.0,1063040.0
35,baseline,4,56,94,10,3,2,11.784298167231936,12.107068756191653,1146001.0,0.0,1065608.0
35,baseline,5,52,91,10,3,2,11.784298167231936,12.107068756191653,1143635.0,0.0,1068218.0
36,candidate,1,100,100,12,3,2,10.976937112465329,12.015768639530826,1056509.7212748453,328736.39373968233,1090254.0
36,candidate,2,100,100,12,2,3,10.976937112465329,12.015768639530826,1032347.3979314928,324472.76683051954,1098093.0
36,candidate,3,100,100,12,3,3,10.976937112465329,12.015768639530826,1002082.1257868474,319516.9621990049,1101000.0
36,candidate,4,100,100,12,2,2,10.976937112465329,12.015768639530826,991804.9274469321,315690.4853806009,1085290.0
36,candidate,5,100,100,10,3,2,10.976937112465329,12.015768639530826,923280.5148046586,383612.5413397584,1089869.0
36,baseline,1,64,90,11,3,2,10.976937112465329,12.015768639530826,1151826.125,0.0,1120716.0
36,baseline,2,57,91,11,3,2,10.976937112465329,12.015768639530826,1148794.875,0.0,1133265.0
36,baseline,3,59,93,11,3,2,10.976937112465329,12.015768639530826,1148783.625,0.0,1131200.0
36,baseline,4,56,94,10,3,2,10.976937112465329,12.015768639530826,1146001.0,0.0,1134166.0
36,baseline,5,52,91,10,3,2,10.976937112465329,12.015768639530826,1143635.0,0.0,1130169.0
37,candidate,1,99,100,12,2,3,11.396309093045785,11.985911278839044,1069021.6174878979,331699.6433349835,1064211.0
37,candidate,2,98,100,12,2,3,11.396309093045785,11.985911278839044,1068887.6315636134,331633.6750151553,1064875.0
37,candidate,3,100,100,12,2,3,11.396309093045785,11.985911278839044,1068789.5073209452,331696.5102787135,1063473.0
37,candidate,4,99,99,12,2,3,11.396309093045785,11.985911278839044,1067372.6524176174,331374.42996594246,1064423.0
37,candidate,5,100,99,12,2,3,11.396309093045785,11.985911278839044,1066886.1125141769,331312.5000940366,1062690.0
37,baseline,1,64,90,11,3,2,11.396309093045785,11.985911278839044,1151826.125,0.0,1085508.0
37,baseline,2,57,91,11,3,2,11.396309093045785,11.985911278839044,1148794.875,0.0,1095671.0
37,baseline,3,59,93,11,3,2,11.396309093045785,11.985911278839044,1148783.625,0.0,1093287.0
37,baseline,4,56,94,10,3,2,11.396309093045785,11.985911278839044,1146001.0,0.0,1096120.0
37,baseline,5,52,91,10,3,2,11.396309093045785,11.985911278839044,1143635.0,0.0,1098051.0
38,candidate,1,100,98,11,3,2,12.127180376049063,12.080236223879366,1067921.053904441,330709.12237784406,1003003.0
38,candidate,2,100,96,11,3,2,12.127180376049063,12.080236223879366,1067449.0296784616,330549.9896161226,999084.0
38,candidate,3,100,99,11,3,2,12.127180376049063,12.080236223879366,1067136.9508969781,330593.7030171234,1002039.0
