batch_idx,theta_true,theta_est,theta_est_std,did_restart,pred_selected_mean,pred_selected_best,pred_base_mean,pred_base_best,y_selected_mean,y_selected_best,y_base,y_base_best,reality_gap_mean,reality_gap_best,cum_gap_mean,cum_gap_best,theta_abs_error
58,19.05270562659425,20.300982978681777,0.7513874543194805,False,603456.5419858331,603551.6046182605,1147808.125,1151826.125,613622.6,615145.0,644948.6,649456.0,10166.05801416689,11593.39538173948,9330184.2,8470539.0,1.248277352087527
59,19.47063794236877,20.267657976702345,0.7385443311936004,False,602365.589137469,602432.5893243531,1147808.125,1151826.125,593379.4,595117.0,627719.8,632358.0,-8986.18913746893,-7315.589324353146,9295843.799999999,8433298.0,0.797020034333574
60,29.650851802285423,20.720899465116553,0.836744625268665,False,607686.3263447336,607866.2799192127,1147808.125,1151826.125,387285.0,388869.0,397386.0,401698.0,-220401.3263447336,-218997.27991921268,9285742.799999999,8420469.0,8.92995233716887
61,29.06415847378171,21.621871265095102,1.8245476127412839,False,615459.8512825161,618985.9524359761,1147808.125,1151826.125,397353.4,400346.0,411624.6,415879.0,-218106.45128251612,-218639.95243597613,9271471.6,8404936.0,7.442287208686608
62,30.0,25.137454417372318,3.648894658578389,False,581160.8909090424,581287.5975003815,1147808.125,1151826.125,386624.2,387693.0,392802.6,397137.0,-194536.69090904243,-193594.59750038153,9265293.2,8395492.0,4.862545582627682
63,29.60327141724628,27.31799587293267,2.216092531860497,True,480093.24860501866,480105.30880510824,1147808.125,1151826.125,389291.0,394514.0,398219.0,402546.0,-90802.24860501866,-85591.30880510824,9256365.2,8387460.0,2.2852755443136097
64,30.0,28.026215093125934,1.7692742960406305,False,396835.7687909187,396948.95348276035,1147808.125,1151826.125,388074.0,393702.0,392802.6,397137.0,-8761.768790918693,-3246.9534827603493,9251636.6,8384025.0,1.9737849068740658
65,29.79314196362086,28.301789034295332,1.5313169599522176,False,424314.7101977902,424616.13898515067,1147808.125,1151826.125,395580.0,396079.0,396491.8,400818.0,-28734.710197790177,-28537.13898515067,9250724.799999999,8379286.0,1.4913529293255294
66,30.0,28.484816227776875,1.366272033723959,False,428561.07492894854,428625.57346548996,1147808.125,1151826.125,394168.6,394562.0,392802.6,397137.0,-34392.47492894856,-34063.57346548996,9252090.799999999,8376711.0,1.515183772223125
67,30.0,28.59774921207127,1.2621297167868952,False,429181.01492674614,429230.035953559,1147808.125,1151826.125,394201.4,394726.0,392802.6,397137.0,-34979.614926746115,-34504.03595355898,9253489.6,8374300.0,1.402250787928729
68,30.0,28.594602765698994,1.177327564252233,False,430219.4512890605,430269.8883759093,1147808.125,1151826.125,394201.4,394726.0,392802.6,397137.0,-36018.0512890605,-35543.8883759093,9254888.4,8371889.0,1.405397234301006
69,28.23719209548268,28.524480889499557,1.1693131799113907,False,428699.71386144403,428755.7065678306,1147808.125,1151826.125,428493.2,428917.0,431123.2,435029.0,-206.51386144402204,161.29343216941925,9252258.4,8365777.0,0.28728879401687735
70,30.0,28.533339126905155,1.0907768984647155,False,434437.18210364354,434456.39630052587,1147808.125,1151826.125,391082.2,391681.0,392802.6,397137.0,-43354.98210364353,-42775.39630052587,9250538.0,8360321.0,1.4666608730948454
71,30.0,28.65808102862559,1.0431256804702336,False,434555.98527096474,434575.6536701798,1147808.125,1151826.125,393662.8,394175.0,392802.6,397137.0,-40893.18527096475,-40400.653670179774,9251398.2,8357359.0,1.3419189713744117
72,30.0,28.63963019403014,0.9992208313811818,False,432795.2363678141,433027.6999217108,1147808.125,1151826.125,390840.4,391681.0,392802.6,397137.0,-41954.8363678141,-41346.699921710824,9249436.0,8351903.0,1.3603698059698601
73,29.50567436423392,28.710897646682977,0.9742634443144991,False,431145.224945433,431314.3397744904,1147808.125,1151826.125,399793.4,400197.0,400945.8,405261.0,-31351.82494543295,-31117.339774490392,9248283.6,8346839.0,0.7947767175509419
74,30.0,28.676864791356905,0.9395716829754736,False,431520.68835783814,431700.43976649205,1147808.125,1151826.125,394168.6,394562.0,392802.6,397137.0,-37352.08835783816,-37138.439766492054,9249649.6,8344264.0,1.3231352086430945
75,28.943655223989364,28.686808275556608,0.930974623384942,False,434943.26436552184,435124.72316927166,1147808.125,1151826.125,414106.6,414507.0,415255.2,419469.0,-20836.664365521865,-20617.72316927166,9248501.0,8339302.0,0.2568469484327558
76,29.470777582547825,28.630500151290363,0.896500396092542,False,436286.0734927094,436488.7924961567,1147808.125,1151826.125,399813.0,400226.0,400928.0,405234.0,-36473.07349270937,-36262.792496156704,9247386.0,8334294.0,0.8402774312574621
77,30.0,28.716178728219965,0.8741857053942385,False,435633.0931290634,435841.6082387714,1147808.125,1151826.125,394168.6,394562.0,392802.6,397137.0,-41464.4931290634,-41279.60823877138,9248752.0,8331719.0,1.2838212717800346
78,30.0,28.680588973289954,0.8550017350067186,False,435262.67930749926,435465.8741228256,1147808.125,1151826.125,394201.4,394726.0,392802.6,397137.0,-41061.27930749924,-40739.874122825626,9250150.8,8329308.0,1.3194110267100463
79,30.0,28.75721405536847,0.8349980403023624,False,435117.9720061399,435321.0492913375,1147808.125,1151826.125,394201.4,394726.0,392802.6,397137.0,-40916.572006139904,-40595.04929133749,9251549.600000001,8326897.0,1.2427859446315317
