method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-nodiscrepancy,200,1.0,20,101,0.015026026289449093,1.237245487984463,0.697111729786893
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,1.0,20,101,0.015828231831137657,0.776449707333733,0.44696789244988533
BOCPD-PF,200,1.0,20,202,0.06481726136735459,0.3799737067082643,0.22493093770731834
R-BOCPD-PF-usediscrepancy,200,1.0,20,202,0.05846820585442031,0.3335937784396041,0.20009301401261267
R-BOCPD-PF-nodiscrepancy,200,1.0,20,202,0.011367187042881768,1.2463651807365217,0.7036210757486998
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,1.0,20,202,0.015330688856256892,0.7913324795768347,0.4561288558252923
BOCPD-PF,200,1.0,20,303,0.06755327074208882,0.3783812930249295,0.22327716117491947
R-BOCPD-PF-usediscrepancy,200,1.0,20,303,0.06226793542613413,0.3190698973670051,0.18999151768119157
R-BOCPD-PF-nodiscrepancy,200,1.0,20,303,0.01584790507499589,1.263688597900599,0.7142127926674097
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,1.0,20,303,0.02243147397847071,1.1014541764592194,0.6219054256644022
BOCPD-PF,200,2.0,20,101,0.047667531784907534,0.5180908786127967,0.3135424751816359
R-BOCPD-PF-usediscrepancy,200,2.0,20,101,0.041776316272202185,0.41654146618961546,0.25921549932130056
R-BOCPD-PF-nodiscrepancy,200,2.0,20,101,0.013336656240126634,0.4164328383658368,0.2588663188690474
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,2.0,20,101,0.01312903225141335,0.7800172584428846,0.45625549043178437
BOCPD-PF,200,2.0,20,202,0.05786193908641783,0.5883352483696177,0.3560420669241068
R-BOCPD-PF-usediscrepancy,200,2.0,20,202,0.05123672813091386,0.4552670976699335,0.27805348986546197
R-BOCPD-PF-nodiscrepancy,200,2.0,20,202,0.01624543331918044,0.4035128933114879,0.2486211330175663
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,2.0,20,202,0.01403903483774961,0.40351551681688463,0.24948382772094538
BOCPD-PF,200,2.0,20,303,0.07223612262210259,0.5712903842160829,0.34668384891950654
R-BOCPD-PF-usediscrepancy,200,2.0,20,303,0.06458496729738014,0.4282818312219841,0.264540920204644
R-BOCPD-PF-nodiscrepancy,200,2.0,20,303,0.013553316689137658,0.42838874482972666,0.264503587122875
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,2.0,20,303,0.04658725470262384,1.328551194009626,0.7568329955407566
BOCPD-PF,200,3.0,20,101,0.08640799132768795,0.5661499757585574,0.34871547676300363
R-BOCPD-PF-usediscrepancy,200,3.0,20,101,0.05450298482525597,0.4537888340418516,0.2859933152846955
R-BOCPD-PF-nodiscrepancy,200,3.0,20,101,0.01192699227638307,0.4537382660021319,0.2860397625632203
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,3.0,20,101,0.01157553111500987,0.4538595245228552,0.286166573308014
BOCPD-PF,200,3.0,20,202,0.11103520829963341,0.638916824381497,0.3911493536708501
R-BOCPD-PF-usediscrepancy,200,3.0,20,202,0.10032510591300554,0.5125929309780773,0.3214293092511962
R-BOCPD-PF-nodiscrepancy,200,3.0,20,202,0.013795108815223459,0.43860244353649275,0.27552175102623944
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,3.0,20,202,0.012423446498166128,0.43866869821363663,0.2758302573296758
BOCPD-PF,200,3.0,20,303,0.09699615547716645,0.6454567524307168,0.398350973466662
R-BOCPD-PF-usediscrepancy,200,3.0,20,303,0.0631793802343244,0.47363314202566403,0.29900548283338235
R-BOCPD-PF-nodiscrepancy,200,3.0,20,303,0.013568862839821607,0.47348463089966714,0.29860151374340604
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,3.0,20,303,0.036880789509427477,0.9094323766617959,0.5430367915055894
